course_id,course_code,course_title,course_description,created_at
36,36,Creating Discord's CSS-Only Search Input Animation Tutorial,"Master the creation of Discord's elegant search input animation using pure CSS, including width transitions and icon transformations for an enhanced user interface.",2025-10-29 22:42:30
37,37,Understanding Flexbox Alignment - Main and Cross Axis Explained,"Demystifies flexbox alignment, explaining main and cross-axis concepts, flex-direction changes, and practical tips for effective CSS layout using justify-content and align-items.",2025-10-29 22:42:30
38,38,Pure CSS Scroll Spy Table of Contents - No JavaScript Required,Master the creation of JavaScript-free scroll spy navigation using pure CSS techniques to build dynamic table of contents that automatically track user position on webpages.,2025-10-29 22:42:30
39,39,Mastering CSS Colors: From Color Gamuts to Advanced Color Functions,"Master advanced CSS color techniques, from color spaces and gamuts to relative colors and color mixing functions. Elevate your styling capabilities with modern color manipulation methods.",2025-10-29 22:42:30
40,40,Creating Overlapping Website Sections with CSS - Box Shadow and Gradient Methods,Master CSS techniques for creating overlapping website sections using box-shadow and gradient methods in this practical web design tutorial.,2025-10-29 22:42:30
41,41,Creating a Focus by Negation Effect with CSS - Animation Tutorial,"Master CSS animation techniques to create an engaging focus by negation effect, exploring scaling, springiness, mobile optimization, and transform properties for dynamic user interactions.",2025-10-29 22:42:30
42,42,The Most Important CSS Update We've Seen in a Long Time,"Explore the groundbreaking reading-flow CSS feature that enhances grid and flexbox element ordering, with Kevin Powell examining its potential impact and implementation before its official release.",2025-10-29 22:42:30
43,43,New CSS Features to Know for 2025,"Discover upcoming CSS features for 2025, including custom selects, carousels, mixins, anchor positioning, view transitions, and more, plus newly available and widely supported capabilities.",2025-10-29 22:42:30
44,44,5 CSS Tips Every Developer Should Know,"Discover 5 essential CSS techniques: single-color gradients, user-select property, the all property, masks, and containing blocks for scroll containers, with practical examples and use cases.",2025-10-29 22:42:30
45,45,Create This Trendy Blurry Glass Effect with CSS,"Master the trendy blurry glass effect using CSS backdrop-filter, gradients, and transparency techniques to create modern, elegant UI components.",2025-10-29 22:42:30
46,46,Spice Up Your Site with Quick and Easy Theme Transitions,"Master CSS view transitions to create smooth, engaging theme switches with sliding, bouncing, and circle effects in just 13 minutes.",2025-10-29 22:42:30
47,47,Introduction to Computer Vision,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",2025-10-29 22:42:30
48,48,AP Computer Science A: Java Programming,"Learn Java programming fundamentals, including variables, selection, and object-oriented design. Develop problem-solving skills and explore computer science concepts relevant to the AP Computer Science A exam.",2025-10-29 22:42:30
49,49,Machine Learning with Python,"Dive into Machine Learning with Python, covering supervised and unsupervised learning, regression, classification, and clustering. Gain hands-on experience using SciPy and scikit-learn libraries.",2025-10-29 22:42:30
50,50,System Administration and IT Infrastructure Services,"Learn to manage IT infrastructure, cloud resources, servers, and users. Explore disaster recovery, backup strategies, and best practices for hardware and service selection. Gain practical skills for effective systems administration.",2025-10-29 22:42:30
53,53,Advanced Operating Systems,"In this course, we will see all the advances that have led to the state-of-the-art operating system that we know today, covering variety of platforms -- cell phones, multi-core, parallel systems, distributed systems, and cloud computing.",2025-10-29 22:42:30
59,59,Data Structures and Performance,"Explore data structures and algorithms for efficient handling of large datasets. Learn asymptotic analysis, linked lists, trees, and hashtables to improve program performance and flexibility.",2025-10-29 22:42:30
62,62,Trial Lessons: Philosophy and Computer Science,"Explore the intersection of philosophy and computer science through seven concise lectures, covering topics from AI governance to robot rights in this unique master's program preview.",2025-10-29 22:42:30
70,70,Introduction to Machine Learning with TensorFlow,Introduction to Machine Learning with TensorFlow,2025-10-29 22:42:30
73,73,Cybersecurity and Its Ten Domains,"Comprehensive introduction to cybersecurity covering ten domains, including governance, compliance, cryptography, network security, and more. Suitable for beginners and professionals seeking foundational knowledge.",2025-10-29 22:42:30
78,78,Ulam Lectures - Cris Moore - Limits of Computers in Science and Society Part 1,"Explore computational limits, problem complexity, and algorithmic challenges in science and society. From easy puzzles to impossible problems, delve into the nature of computation and its societal impact.",2025-10-29 22:42:30
79,79,Berkeley in the 80s - Episode 1- Shafi Goldwasser,"Insightful interview with Turing Laureate Shafi Goldwasser, exploring her groundbreaking research in theoretical computer science, interactive proofs, and zero-knowledge protocols at UC Berkeley in the 1980s.",2025-10-29 22:42:30
80,80,Invariant Theory for Computer Scientists,"Explore algebraic methods in computer science, focusing on invariant theory, graph isomorphism, and group actions. Learn about algorithms, moment polytopes, and open problems in the field.",2025-10-29 22:42:30
81,81,The Beginners Guide to WordPress Troubleshooting,"Learn to troubleshoot common WordPress issues, from broken sites and plugin rollbacks to backend lockouts, CSS problems, redirections, 404 errors, and server issues in this comprehensive guide.",2025-10-29 22:42:30
82,82,An Introduction to Boolean Function Analysis - Dor Minzer,"Explore Boolean function analysis, covering influences, PCP theory, and hypercontractive inequalities. Gain insights into fundamental concepts and advanced techniques in discrete mathematics and theoretical computer science.",2025-10-29 22:42:30
83,83,"Turing Lecture 2021 - Abstractions, Their Algorithms, and Their Compilers","Explore computational thinking through abstractions, algorithms, and compilers. Delve into compiler design, large dataset handling, and quantum computation, with insights from renowned computer scientists.",2025-10-29 22:42:30
84,84,A Brief Tour of Proof Complexity - Lower Bounds and Open Problems - Toniann Pitassi,"Explore proof complexity, lower bounds, and open problems in computer science and discrete mathematics with insights on proof systems and their limitations.",2025-10-29 22:42:30
85,85,Introduction to CSS Variables - CSS Custom Properties - Full Tutorial,"Comprehensive tutorial on CSS variables, covering creation, overriding, theming, JavaScript integration, and responsiveness. Learn to enhance code efficiency and flexibility in web development.",2025-10-29 22:42:30
86,86,It Is Entropy That Counts by Jaikumar Radhakrishnan,"Explore Shannon entropy's applications in combinatorics and computer science, including randomized two-party communication complexity and quantum communication complexity of Set Disjointness problem.",2025-10-29 22:42:30
87,87,Getting Started with CSS - CSS Tutorials for Beginners - Learn CSS,"Comprehensive introduction to CSS, covering selectors, properties, and styling techniques. Includes practical demonstrations and examples for beginners to create visually appealing web pages.",2025-10-29 22:42:30
88,88,Ranking CSS Units from Best to Worst,"Comprehensive guide ranking CSS units, exploring absolute, relative, viewport, and container units, with insights on their practical applications and benefits.",2025-10-29 22:42:30
89,89,Styling With Attribute Selectors,Explore advanced CSS techniques using attribute selectors to enhance styling capabilities and solve complex design challenges efficiently.,2025-10-29 22:42:30
90,90,Learn CSS Box Model - Build a Rothko Painting,"Explore CSS box model concepts while creating a Rothko-inspired painting, enhancing your web design skills and artistic expression through practical coding exercises.",2025-10-29 22:42:30
91,91,Reverse-Engineering Stripe's Themes with CSS Custom Properties,"Learn to create customizable CSS themes using custom properties, inspired by Stripe's design approach. Practical tutorial on building flexible, reusable styles for modern web development.",2025-10-29 22:42:30
92,92,CSS Position Property - Tutorial 28,"Explore CSS position properties: static, relative, absolute, fixed, and sticky. Learn their applications and effects on element positioning in web layouts.",2025-10-29 22:42:30
93,93,Binary Number Systems and Conversions,"Explore the fundamentals of binary, its applications in computing, and how it forms the basis for digital information storage and processing.",2025-10-29 22:42:30
94,94,Learn CSS - Code Marker-Pens With Me,"Hands-on CSS tutorial for creating marker-pens, ideal for beginners. Practice fundamental styling techniques while building a fun, interactive project.",2025-10-29 22:42:30
95,95,Linear Gradient in CSS - HTML & CSS,Learn to create visually appealing linear gradients in CSS using linear-gradient and repeating-linear-gradient functions. Enhance your web design skills with this practical tutorial.,2025-10-29 22:42:30
96,96,Modern CSS Evolution: From Past Practices to Future Trends,"Explore CSS evolution, from preprocessors to modern techniques. Learn about influential changes, new features, and future trends in writing efficient and powerful stylesheets.",2025-10-29 22:42:30
97,97,Modern CSS for Dynamic Component-Based Architecture,"Explore modern CSS techniques for dynamic, component-based web development. Learn theming, responsive layouts, and advanced features for scalable, future-friendly projects with real-world examples.",2025-10-29 22:42:30
98,98,CSS Containers - Understanding and Implementing Container Queries,"Comprehensive exploration of CSS Container Queries: from concept to implementation. Learn key differences from media queries, hidden powers, and practical applications in web projects.",2025-10-29 22:42:30
99,99,Why Doesn't CSS Have Scope?,"Explore CSS scoping, its necessity, and alternatives. Challenges global CSS, questions stylesheets and frameworks, and draws unexpected parallels with Swedish death metal.",2025-10-29 22:42:30
100,100,Tinkerer by Night - Exploring CSS Possibilities Through Experimentation,"Explore CSS possibilities through live-coding experiments. Discover elegant, joyful ways to design and code the web, embracing both successes and failures as valuable learning experiences.",2025-10-29 22:42:30
101,101,State of the CSS Community - CSS Day 2023,"Explore the current landscape of CSS, its evolving features, and the vibrant community shaping its future in this insightful talk by Una Kravets.",2025-10-29 22:42:30
103,103,"Keeping CSS Small - Scopes, Containers, and New Technologies","Explore new CSS and DOM technologies for managing complex stylesheets without adopting complex tooling. Learn about scopes, containers, and other features to keep your CSS small and understandable.",2025-10-29 22:42:30
104,104,The Joy of CSS - Live-Coding a CSS Landscape,"Explore CSS landscape live-coding with Ben Evans, discovering creative techniques, design insights, and the unexpected joys of drawing with code in this entertaining and informative session.",2025-10-29 22:42:30
105,105,"CSS Scroll-Snap: Basics, Tricks, and Future Developments","Explore CSS scroll-snap essentials, debugging techniques, and advanced tricks. Learn about related properties and future developments for enhanced web design and user experience.",2025-10-29 22:42:30
106,106,The CSS Cascade - A Deep Dive,"Explore the intricacies of CSS Cascade, including Origins, Specificity, and Cascade Layers. Gain insights into browser mechanics for determining CSS declaration application.",2025-10-29 22:42:30
107,107,3D Transforms in CSS - Creating Complex Shapes and Animations,"Explore advanced 3D transforms in CSS, creating complex shapes with shading, animations, and transformations. Learn techniques for building intricate geometric solids and dynamic visual effects.",2025-10-29 22:42:30
108,108,Flexbox Holy Albatross - Algorithmic Layouts and Design Systems,"Explore the Flexbox Holy Albatross technique for algorithmic layouts and its integration into design systems using custom elements, presented by Heydon Pickering at CSS Day 2019.",2025-10-29 22:42:30
109,109,Algorithms in CSS - Declarative Programming in Web Design,"Explore CSS as a declarative, domain-specific programming language. Learn to appreciate its unique features and understand why it's crucial to view CSS as a true programming language in web development.",2025-10-29 22:42:30
110,110,CSS Line Layout and Vertical Rhythm - Upcoming Features and Improvements,"Explore upcoming CSS features for improved line layout, half-leading control, and vertical rhythm maintenance. Learn about advancements in the CSS line box model and their impact on web design.",2025-10-29 22:42:30
111,111,Refactoring the Way We Talk About CSS,"Explores the evolution of CSS and proposes a new approach to teaching and discussing the language, challenging outdated perceptions and emphasizing its modern capabilities and strengths.",2025-10-29 22:42:30
112,112,Understanding Modern CSS Layouts with Firefox DevTools,"Explore modern CSS layouts using Firefox DevTools. Learn Flexbox and Grid properties, understand browser interpretation, and master layout techniques for responsive web design.",2025-10-29 22:42:30
113,113,Text Experiments with CSS - Creating Print-Like Effects on the Web,"Explore innovative CSS techniques to create stunning text effects, combining properties like pseudo-elements, clip-path, and variable fonts for impactful web typography.",2025-10-29 22:42:30
114,114,"FirefoxOS - Developer Environment, Apps, and Marketplace","Explore FirefoxOS development, including the environment setup, app creation, and publishing to the Marketplace. Learn essential skills for building and distributing mobile web applications.",2025-10-29 22:42:30
115,115,Natural Language Processing - Lecture 5,"Explore advanced topics in computer science, focusing on cutting-edge algorithms, data structures, and problem-solving techniques in this comprehensive lecture.",2025-10-29 22:42:30
117,117,Machine Learning - Lecture 8,"Explore advanced machine learning concepts, focusing on ensemble methods and boosting techniques to enhance model performance and predictive accuracy.",2025-10-29 22:42:30
118,118,Machine Learning - Lecture 6,"Explore advanced machine learning concepts, focusing on ensemble methods and boosting techniques to enhance model performance and predictive accuracy.",2025-10-29 22:42:30
119,119,Machine Learning - Lecture 4,"Machine learning techniques for classification, including decision trees, logistic regression, and support vector machines. Explores model evaluation, feature engineering, and handling imbalanced datasets.",2025-10-29 22:42:30
120,120,CSEP 501 - Compilers for Computer Languages - Lecture 10,"Explore advanced compiler optimization techniques, focusing on data-flow analysis and its applications in program transformation and code improvement.",2025-10-29 22:42:30
121,121,Intrinsic Patterns as Alternatives to Media and Container Queries,"Explore intrinsic CSS patterns as alternatives to media and container queries, offering flexible layouts that adapt to content width using flexbox and grid techniques.",2025-10-29 22:42:30
123,123,Recreating Cut-Corner Photo Effect with CSS,"Learn to recreate a cut-corner photo effect using CSS, exploring techniques like pseudo-elements, clip paths, and fake borders to achieve a unique and visually appealing design.",2025-10-29 22:42:30
124,124,ASMR Coding - Build a CSS Landing Page Without Talking,Experience the soothing process of building a responsive landing page with HTML and CSS through ASMR coding. Learn Visual Studio Code shortcuts while enjoying the calming sounds of mechanical keyboard typing.,2025-10-29 22:42:30
126,126,The Other C in CSS - Exploring Cascading Style Sheets,"Explore the often-overlooked Cascade in CSS with Sara Soueidan, delving into its intricacies and impact on web development practices.",2025-10-29 22:42:30
127,127,Creating a CSS Boilerplate,Develop a robust CSS boilerplate to streamline your web development process and enhance consistency across projects. Learn essential techniques for efficient styling.,2025-10-29 22:42:30
128,128,Python: CSS Introduction,"Learn to manipulate web page styles using Python and CSS. Explore techniques for dynamic styling, enhancing user interfaces, and creating visually appealing web applications.",2025-10-29 22:42:30
129,129,What's New with CSS - Modern Features and Capabilities,"Discover the latest CSS features and capabilities, from container queries to directional layouts, empowering you to create more dynamic and responsive designs with fewer dependencies.",2025-10-29 22:42:30
131,131,"Modern CSS: Grid, Aspect Ratio, Container Queries, and More","Explore modern CSS features like Grid, Aspect Ratio, and Container Queries with expert Stephanie Eckles. Learn powerful techniques to simplify layout design and create responsive web experiences.",2025-10-29 22:42:30
132,132,A Single Spooky Div - CSS Art Techniques,Explore creative CSS techniques with Lynn Fisher's A Single Div project. Learn to push CSS boundaries and create impressive designs using minimal HTML in this Halloween-themed tutorial.,2025-10-29 22:42:30
133,133,"Glassmorphism Button Effect with Mouse Tracking - HTML, CSS and JavaScript Tutorial","Learn to create an interactive glassmorphism button effect with mouse tracking using HTML, CSS, and JavaScript. Master advanced CSS techniques and enhance your web design skills.",2025-10-29 22:42:30
134,134,"Animated Neon Buttons with HTML, CSS, and JavaScript","Create eye-catching animated neon buttons using HTML, CSS, and JavaScript in this interactive live coding session. Learn techniques for adding visual flair to web elements.",2025-10-29 22:42:30
135,135,Finding and Debugging CSS Issues - Techniques and Tools,"Discover effective techniques for identifying and resolving CSS issues using dev tools, browser extensions, and specialized software to improve your debugging skills and web development workflow.",2025-10-29 22:42:30
136,136,How to Teach CSS - Effective Strategies for Engaging Developers,"Discover effective strategies to teach CSS, exploring mental models and analogies that make it engaging for JavaScript-focused developers. Learn to inspire enthusiasm for CSS in your peers.",2025-10-29 22:42:30
137,137,Game Programming: Cache Coherency and Memory Pooling - Lecture 19,Optimize game performance through cache coherency and memory pooling techniques. Learn efficient memory management for game development.,2025-10-29 22:42:30
138,138,Scroll-Enhanced Experiences - Creating Dynamic Narratives with CSS,"Explore scrollytelling techniques using CSS Scroll Timeline API to create dynamic, story-driven web experiences that captivate users as they scroll through content.",2025-10-29 22:42:30
139,139,Anchor Positioning - CSS Day 2024,"Explore advanced CSS techniques for precise element positioning using anchor-based methods, enhancing layout control and design flexibility.",2025-10-29 22:42:30
140,140,Creating a Fun Quick Text Flip Effect Tutorial,"Learn how to create a text flip animation effect in CSS with three different approaches, exploring keyframes, box-shadow, and transform techniques for dynamic text transitions.",2025-10-29 22:42:30
141,141,20 NEW CSS Features You Need To Know In 2025,"Discover 20 cutting-edge CSS features for 2025, including layer, text-wrap, nesting, container queries, relative colors, :has selector, property, subgrid, and more to enhance your web development toolkit.",2025-10-29 22:42:30
142,142,This Was So Much Harder Than I Thought - CSS Battle Optimization Challenge,"Dive into the challenges of CSS Battle optimization as we explore strategies for minimizing code characters while creating effective designs, from initial approach to advanced techniques.",2025-10-29 22:42:30
143,143,Can I Survive CSS Hell? - Navigating CSS Challenges,"Explore strategies to overcome CSS challenges and build confidence in your styling skills, from basic troubleshooting to advanced techniques for creating maintainable code.",2025-10-29 22:42:30
144,144,Custom Property Trick for Solving Common CSS Problems,"Discover a simple custom property trick for creating CSS fallbacks in older browsers, solving common compatibility issues with transitions and animations.",2025-10-29 22:42:30
145,145,Make an Animated Glowing Border Effect with CSS,"Master creating animated glowing border effects with CSS, inspired by Google's AI Mode design. Build gradients, glows, and smooth animations using modern CSS techniques.",2025-10-29 22:42:30
146,146,CSS Style Queries Have So Much Potential,"Explore CSS style queries and their powerful potential beyond container queries, covering advanced use cases, theme examples, and practical implementation techniques.",2025-10-29 22:42:30
147,147,Introduction to Artificial Intelligence (AI),"Explore AI fundamentals, applications, and ethical considerations. Learn about machine learning, neural networks, and generative AI. Gain insights into AI's impact on various industries and future career opportunities.",2025-10-29 22:42:30
150,150,Analysis of Algorithms,"Explore algorithms through calculus, generating functions, and symbolic methods. Analyze structures like permutations, trees, and strings. Gain quantitative insights into large combinatorial structures.",2025-10-29 22:42:30
151,151,Machine Learning: Clustering & Retrieval,"Explore similarity-based algorithms for document retrieval, clustering techniques, and topic modeling. Learn to implement k-nearest neighbors, k-means, EM, and LDA for analyzing large text datasets.",2025-10-29 22:42:30
154,154,计算机组成 Computer Organization,本课程重点讲述计算机的内部结构和工作原理着眼于软件和硬件的衔接互动注重基本概念和真实系统的对应,2025-10-29 22:42:30
158,158,Internet of Things: How did we get here?,"Explore the evolution of telecommunications, from early telephony to modern smartphones and IoT. Understand key innovations, network types, and technological convergence shaping our interconnected world.",2025-10-29 22:42:30
164,164,Client Needs and Software Requirements,This course covers practical techniques to elicit and express software requirements from client interactions.,2025-10-29 22:42:30
165,165,Cryptography,"Explore the foundations of modern cryptography, focusing on practical applications and covering topics from classical methods to digital signatures and public-key encryption.",2025-10-29 22:42:30
172,172,How to Code: Simple Data,"Learn the secret to writing well-tested and easy to improve programs, that will set you up to master any programming language",2025-10-29 22:42:30
175,175,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning","Aprenda a implementar princípios de IA e aprendizado de máquina usando TensorFlow, construindo modelos escaláveis para resolver problemas do mundo real em visão computacional.",2025-10-29 22:42:30
180,180,"Software - Mathematica, MATLAB, Aspen Plus","Learn to use Mathematica, MATLAB, and Aspen Plus for engineering computing through comprehensive screencasts covering interactive simulations, data analysis, programming, and chemical process modeling.",2025-10-29 22:42:30
185,185,Software Debugging,In this course you will learn how to debug programs systematically using scientific methods and build several automated debugging tools in Python.,2025-10-29 22:42:30
191,191,Computer Networking,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.,2025-10-29 22:42:30
194,194,Cris Moore on Algorithmic Justice and The Physics of Inference,"Exploring algorithmic justice and inference physics, this talk delves into the limits of AI decision-making, emphasizing transparency, model suitability, and the importance of understanding technology's boundaries in complex problem-solving.",2025-10-29 22:42:30
196,196,More Communication Lower Bounds for Information-Theoretic MPC,"Explores communication complexity lower bounds in information-theoretic secure multiparty computation, covering perfect passive and malicious security settings with various party thresholds and reactive functionalities.",2025-10-29 22:42:30
197,197,"ADSI Summer Workshop- Algorithmic Foundations of Learning and Control, Pablo Parrilo","Explore advanced Gaussian kernel factorization techniques and their applications in machine learning and control systems, with insights from approximation theory.",2025-10-29 22:42:30
198,198,Wireless Network System Capstone,"Explore student projects showcasing innovative wireless network systems, from enhanced e-readers to collaborative tools and vision-based applications.",2025-10-29 22:42:30
199,199,Luis von Ahn: Pioneering Crowdsourcing and Language Learning with Duolingo,"Pioneering crowdsourcing: From reCAPTCHA to Duolingo. Insights on harnessing collective intelligence for free language learning, tech entrepreneurship, and the impact of accessible education.",2025-10-29 22:42:30
200,200,SIGCOMM 2020 - Caching with Delayed Hits,"Explore caching strategies with delayed hits, examining their impact on aggregate delay and performance through experimental results and in-depth analysis.",2025-10-29 22:42:30
201,201,Caching with Time Windows,"Explore efficient caching strategies using time windows, including weighted caching algorithms and technical challenges in optimizing cache performance.",2025-10-29 22:42:30
202,202,Neural Circuit Modeling of Large-Scale Brain Dynamics for Computational Psychiatry,"Explore neural circuit modeling for large-scale brain dynamics in computational psychiatry, bridging microcircuit perturbations with neuroimaging biomarkers to advance personalized therapeutics.",2025-10-29 22:42:30
203,203,From Bits to Atoms - Turning Information into Things and Things into Information,"Explore the convergence of computer science and physical science, examining how information becomes tangible and objects transform into data, revolutionizing manufacturing and design.",2025-10-29 22:42:30
204,204,The Humble Border-Radius - Exploring CSS Techniques,"Explore the versatility of border-radius in CSS, from basic shapes to complex animations and gradients, with expert insights and practical demonstrations.",2025-10-29 22:42:30
205,205,Variables and Conditionals in CSS - CSS Day 2013,"Learn about CSS variables, conditionals, and advanced techniques from Tab Atkins. Explore modern use cases, hacks, and cutting-edge concepts like shadow DOM and scoped style sheets.",2025-10-29 22:42:30
206,206,Filter Effects and Blend Modes in CSS - CSS Day 2013,"Explore advanced CSS techniques like filter effects and blend modes, learning their syntax, applications, and browser compatibility to enhance web design and create visually striking effects.",2025-10-29 22:42:30
207,207,3.14 Things I Didn't Know About CSS - Obscure Facts and Quirks,"Discover obscure CSS facts, syntax quirks, and unexpected security vulnerabilities in this engaging talk that reveals surprising aspects of Cascading Style Sheets.",2025-10-29 22:42:30
208,208,Present and Future of CSS Layout - CSS Day 2014,"Explore new CSS layout techniques like Flexbox and Grid, and learn how to apply them for improved web design. Discover the future of CSS layout and its practical applications.",2025-10-29 22:42:30
209,209,Defining Auto in CSS Layout Systems,"Explore the intricacies of auto sizing in CSS layouts, understanding layout engine primitives and their incorporation into new systems for more effective adaptive designs.",2025-10-29 22:42:30
210,210,The Back of the Class - Challenging CSS Best Practices,"Provocative critique of CSS best practices challenging modular approaches, encouraging simplicity, and embracing inheritance for more efficient and content-focused web development.",2025-10-29 22:42:30
211,211,The Future of CSS Isn't CSS - Exploring Pre-processors,"Explore next-gen CSS syntax and pre-processors for enhanced styling capabilities, supporting older browsers while embracing programmatic approaches and advanced Sass techniques.",2025-10-29 22:42:30
212,212,CSS at the Intersection - Mental Models and Team Communication,"Exploring CSS mental models, team communication, and effective tools for designer-developer collaboration. Insights on bridging gaps and fostering multidisciplinary practices in web development.",2025-10-29 22:42:30
213,213,Line Breaking and Related Properties from CSS Text,"Comprehensive exploration of CSS text wrapping, line breaking, and related properties, covering language-specific nuances, implementation challenges, and practical examples for web developers.",2025-10-29 22:42:30
