course,skills_taught,skills_in_market,score
45,"css, css backdropfilter, css gradients, css transparency, glassmorphism, rgbahsla color models, ui component development",,14.0
46,"css, css animations, css transitions, css view transitions api, dynamic theme switching, ui animation",,16.0
47,"computer vision, feature extraction, image classification, image processing, machine learning, opencv, python",,57.0
48,"algorithms, conditional logic, control flow, data structures, java, objectoriented design, objectoriented programming",,57.0
49,"classification, clustering, machine learning, python, regression, scikitlearn, scipy, supervised learning, unsupervised learning",,64.0
50,"cloud resource management, data backup and recovery, disaster recovery planning, it infrastructure management, server administration, systems administration, user administration",,75.0
53,"cloud computing, concurrency and parallelism, distributed systems, memory management, mobile operating systems, operating systems principles, process management",,28.0
59,"algorithms, asymptotic analysis, data structures, hashtables, linked lists, performance analysis, trees",,28.0
62,"ai ethics, ai governance, algorithmic fairness, artificial intelligence, philosophy of computer science, robotics",,16.0
70,"machine learning, model training, neural networks, numpy, pandas, python, supervised learning, tensorflow",,84.0
73,"access control concepts, cryptography, cybersecurity fundamentals, cybersecurity governance, it compliance, network security, risk management",,52.0
78,"algorithm analysis, automata theory, computability theory, computational complexity theory, formal languages, turing machines, undecidability",,0.0
79,"algorithm design, complexity theory, cryptography, interactive proofs, theoretical computer science, zeroknowledge protocols",,0.0
80,"algorithm design, computational algebra, graph isomorphism, group actions, invariant theory, moment polytopes, theoretical computer science",,0.0
81,"css debugging, database connection troubleshooting, http redirection configuration, permalink troubleshooting, php error log analysis, wordpress plugin management, wordpress troubleshooting",,0.0
82,"boolean function analysis, discrete mathematics, fourier analysis of boolean functions, hypercontractive inequalities, influence analysis, pcp theory, theoretical computer science",,0.0
83,"abstractions, algorithms, compiler design, compilers, computational thinking, large dataset handling, quantum computation",,14.0
84,"algorithm analysis, circuit complexity, computational complexity theory, computational lower bounds, discrete mathematics, proof complexity, proof systems analysis",,0.0
85,"css, css theming, css variables, dom manipulation, javascript, javascript integration with css, responsive web design",,68.0
86,"combinatorics, communication complexity, information theory, quantum communication complexity, quantum computing, randomized algorithms, shannon entropy",,0.0
87,"css, css box model, css properties, css selectors, html, web page layout, web styling",,63.0
88,"css, css absolute length units, css container query units, css relative length units, css viewport units, fluid typography, responsive web design",,28.0
89,"advanced css selectors, css, css attribute selectors, css pseudoclasses, css specificity, responsive design principles",,32.0
90,"css, css box model, css layout, css styling, frontend development, html",,80.0
91,"css, css custom properties, css theming, css variables, frontend development, modular css, reusable css",,41.0
92,"absolute positioning, css, css positioning, fixed positioning, relative positioning, sticky positioning, web page layout",,14.0
93,"binary arithmetic, binary number system, bitwise operations, boolean algebra, character encoding, digital data representation, logic gates, number base conversion",,0.0
94,"css, css box model, css colors, css gradients, css pseudoclasses, css selectors, html",,40.0
95,"css, css background properties, css gradients, css lineargradient function, css repeatinglineargradient function, css visual effects, web design",,37.0
96,"css, css flexbox, css grid, css preprocessors, css variables, responsive design, stylesheet architecture",,42.0
97,"componentbased development, css, css animations, css custom properties, css flexbox, css grid, responsive web design",,28.0
98,"componentbased design, css, css container queries, css media queries, frontend development, responsive web design, web layout implementation",,42.0
99,"bem, css, css modules, css scoping, cssinjs, managing global css, stylesheet architecture",,14.0
100,"css, css animations, css layout, css selectors, debugging css, html, responsive design",,66.0
101,"container queries, css, css custom properties, css flexbox, css grid layout, modern css syntax, responsive design principles",,28.0
103,"css, css architecture, css container queries, css scopes, dom, stylesheet management",,30.0
104,"css, css animations, css art, css pseudoelements, css transforms, css transitions, css variables",,26.0
105,"advanced css techniques, css, css debugging, css layout, css scrollsnap, frontend development, responsive web design",,66.0
106,"browser rendering, css, css cascade, css cascade layers, css origins, css specificity, css style resolution",,14.0
107,"3d modeling with css, css, css 3d transforms, css animations, css perspective, css pseudoelements, css shading techniques",,26.0
108,"advanced css layout techniques, algorithmic layouts, css, css flexbox, custom elements, design systems, web components",,27.0
109,"css, css box model, css cascade, css selectors, css specificity, declarative programming, domainspecific languages",,26.0
110,"css, css line box model, leading control, line layout, vertical rhythm, web typography",,16.0
111,"css, css animations, css custom properties, css flexbox, css grid, css transitions, responsive web design",,28.0
112,"css, css flexbox, css grid, css layouts, firefox devtools, responsive web design",,47.0
113,"css, css clippath, css pseudoelements, css text effects, variable fonts, web typography",,16.0
114,"application publishing, css, development environment setup, firefox marketplace, firefoxos, html, javascript, mobile web application development",,49.0
115,"advanced algorithms, advanced data structures, algorithm analysis, computational complexity, dynamic programming, graph algorithms, recursion",,37.0
117,"boosting techniques, ensemble methods, gradient boosting, machine learning, model performance evaluation, predictive modeling, random forest",,39.0
118,"boosting, ensemble methods, gradient boosting, hyperparameter tuning, machine learning, model evaluation, predictive modeling",,27.0
119,"classification, decision trees, feature engineering, handling imbalanced datasets, logistic regression, model evaluation, support vector machines",,41.0
120,"code optimization, compiler optimization, controlflow graphs, dataflow analysis, intermediate representation, program transformation, static analysis",,25.0
121,"container queries, css, css flexbox, css grid, intrinsic web design, media queries, responsive web design",,28.0
123,"advanced css styling, css, css clippath, css pseudoelements, css visual effects, frontend development, html",,66.0
124,"css, css flexbox, css grid, html, responsive web design, visual studio code, web page development",,69.0
126,"css, css cascade, css debugging, css inheritance, css specificity, html, style rule resolution",,28.0
127,"css, css architecture, css flexbox, css grid, css variables, html, responsive web design",,54.0
128,"css, dom manipulation, dynamic styling, python, ui development, web development",,65.0
129,"container queries, css, css flexbox, css grid, css layout techniques, responsive web design",,33.0
131,"css, css aspectratio, css container queries, css grid, css layout, modern css, responsive web design",,53.0
132,"advanced css selectors, css, css art, css positioning, css pseudoelements, css transforms, html",,41.0
133,"advanced css techniques, css, dom manipulation, glassmorphism, html, javascript, javascript event handling, mouse tracking",,59.0
134,"css, css animations, css styling, dom manipulation, html, javascript, ui development",,70.0
135,"browser devtools, css, css box model, css debugging, css specificity, frontend development, html",,42.0
136,"css, css box model, css layout models, css selectors, css specificity, the cascade",,30.0
137,"cache coherency, dataoriented design, memory allocation, memory management, memory pooling, performance optimization",,32.0
138,"css, css animations, css scroll timeline api, frontend web development, html, scrollytelling, web animation",,41.0
139,"advanced css, css, css anchor positioning, css layout techniques, css positioning, html, responsive web design",,55.0
140,"css, css animations, css boxshadow, css keyframes, css transforms, css transitions",,16.0
917,"concurrency control, file systems, memory management, process management, scheduling algorithms, system calls, virtual memory",,27.0
141,"has selector, container queries, css, css cascade layers, css nesting, css subgrid, relative color syntax",,14.0
142,"advanced css selectors, code minification, css, css code optimization, css layout techniques, css pseudoelements, css shape creation",,14.0
143,"advanced css techniques, css, css debugging, css layout techniques, css specificity, maintainable css, responsive design",,40.0
144,"crossbrowser compatibility, css, css animations, css custom properties, css fallbacks, css transitions",,33.0
145,"css, css animations, css boxshadow, css custom properties, css gradients, css transitions",,16.0
146,"css, css container queries, css custom properties, css style queries, css theming, responsive design",,48.0
147,"artificial intelligence fundamentals, generative ai, machine learning, neural networks, supervised learning, unsupervised learning",,92.0
150,"algorithmic analysis, analytic combinatorics, calculus, generating functions, permutation analysis, symbolic methods, tree analysis",,0.0
151,"clustering techniques, document retrieval, expectationmaximization algorithm, kmeans clustering, knearest neighbors, latent dirichlet allocation, topic modeling",,0.0
154,"assembly language, computer architecture, computer organization, hardwaresoftware interface, instruction set architecture, memory hierarchy, processor design",,11.0
158,"internet of things, mobile networking, network architecture, technological convergence, telecommunication principles, telephony systems",,15.0
164,"requirements analysis, requirements elicitation, software requirements specification, stakeholder analysis, use case modeling, user story writing",,56.0
165,"classical cryptography, cryptographic hashing, cryptography, digital signatures, publickey encryption, rsa algorithm, symmetrickey encryption",,0.0
172,"clean code practices, code quality analysis, code refactoring, debugging techniques, software design principles, testdriven development, unit testing",,53.0
175,"artificial intelligence, computer vision, machine learning, model building, scalable models, tensorflow",,66.0
180,"aspen plus, chemical process modeling, data analysis, engineering computing, interactive simulations, mathematica, matlab",,26.0
185,"automated debugging, debugging tool development, fault localization, program analysis, python, software debugging, systematic debugging",,64.0
191,"cloud networking, network architecture design, network automation, network security principles, network traffic analysis, softwaredefined networking, tcpip protocol suite",,38.0
232,"computer networking, network algorithms, network architecture, network protocols, osi model, routing algorithms, tcpip protocol suite",,26.0
194,"ai decisionmaking systems, algorithmic fairness analysis, explainable ai, model interpretability, model selection, model validation, statistical inference",,10.0
196,"communication complexity, cryptographic protocol design, informationtheoretic security, malicious security models, passive security models, secure multiparty computation, threshold cryptography",,0.0
197,"approximation theory, control systems, gaussian kernel factorization, kernel methods, machine learning",,39.0
198,"computer vision, distributed systems, embedded systems, network protocols, network systems design, wireless networking",,47.0
199,"ab testing, collective intelligence models, crowdsourcing system design, gamification, human computation, largescale data collection",,16.0
200,"benchmarking, caching strategies, data analysis, latency measurement, performance analysis, performance testing, system design",,51.0
201,"algorithmic analysis, cache eviction policies, cache invalidation strategies, cache performance optimization, caching strategies, timewindow caching, weighted caching algorithms",,12.0
202,"computational modeling, computational neuroscience, largescale dynamic systems modeling, machine learning, neural circuit modeling, neuroimaging data analysis, python",,28.0
203,"3d modeling, 3d printing, 3d scanning, computeraided design, digital fabrication, parametric design, sensor data acquisition",,12.0
204,"borderradius property, css, css animations, css gradients, css shape creation, css transitions",,16.0
205,"css, css conditional rules, css variables, scoped style sheets, shadow dom, web components",,16.0
206,"advanced css techniques, crossbrowser compatibility, css, css blend modes, css filter effects, frontend development, ui design implementation",,54.0
207,"advanced css syntax, cascading style sheets, crossbrowser compatibility, css debugging, css security vulnerabilities, css specificity and cascade",,16.0
208,"css, css flexbox, css grid, frontend development, responsive design, web design, web layout",,53.0
209,"adaptive design, css, css auto sizing, css flexbox, css grid, css layout, layout engine primitives",,40.0
210,"css, css best practices, css cascade, css inheritance, css specificity, modular css, web development",,28.0
211,"crossbrowser compatibility, css preprocessors, modern css syntax, programmatic css, sass, sass functions, sass mixins",,67.0
212,"css, css mental models, design systems, designtocode implementation, frontend development, html",,65.0
213,"crossbrowser compatibility, css, css internationalization, css line breaking, css text properties, css text wrapping, html, responsive web design",,50.0
214,"css, css animations, interactive graphics, responsive design, svg, svg styling",,33.0
215,"cie lab color space, color management, color rendering intents, css color level 4, icc profiles, web color standards",,0.0
216,"css, css code refactoring, css methodologies, css preprocessors, modular css, objectoriented css, scalable css architecture",,28.0
217,"advanced css selectors, browser developer tools, css, css positioning, css pseudoclasses and pseudoelements, css transforms, html",,42.0
218,"css, css basic shapes, css clippath property, css path function, svg path syntax",,20.0
219,"advanced css techniques, css, css custom properties, css functions, css layouts, web styling",,71.0
220,"css, css writing modes, inclusive web design, internationalization, responsive web design, vertical typesetting, web accessibility",,40.0
221,"crossbrowser compatibility, css, css language design, css syntax, web standards, web styling",,60.0
222,"css, css box model, css flexbox, css grid, css layout, css positioning, responsive web design",,40.0
223,"css, css apis, css grid layout, css houdini, css variable fonts, web development",,33.0
224,"css, css box alignment, css flexbox, css grid, firefox devtools, responsive web design",,33.0
225,"componentbased styling, css, css container queries, flexible layouts, frontend development, responsive design, web styling",,53.0
226,"css, css sprites, http request optimization, image optimization, page load time analysis, web performance optimization",,33.0
227,"computer architecture, computer systems, concurrency, parallel computing, performance analysis, processor design, simultaneous multithreading",,37.0
228,"concurrency control, distributed system design, distributed systems, fault tolerance, network protocols, performance optimization, scalability",,25.0
229,"algorithm design, algorithmic problemsolving, data structures, dynamic programming, graph algorithms, recursion, time and space complexity analysis",,26.0
230,"bgp, distributed systems, graph theory, network algorithms, network optimization, network protocols, routing algorithms",,0.0
231,"advanced algorithms, advanced data structures, algorithm analysis, algorithmic problemsolving, computational complexity, dynamic programming, graph theory",,25.0
233,"boosting algorithms, data analysis, decision trees, ensemble methods, machine learning, predictive modeling, python, scikitlearn",,62.0
234,"computer science research, critical analysis, data analysis, innovation, project development, scientific communication, technical presentation",,25.0
235,"3d printing, cad programming, computational design, computational fabrication, functional programming, machine knitting, wireless analytics",,26.0
236,"artificial intelligence, deep learning, machine learning, neural networks, python, pytorch, tensorflow",,98.0
237,"advanced algorithms, algorithmic analysis, algorithmic design, big o notation, data structures, time complexity analysis",,31.0
239,"code improvement, compiler optimization, controlflow graphs, dataflow analysis, dead code elimination, intermediate representation, program transformation",,12.0
240,"code generation, compiler optimization, controlflow analysis, dataflow analysis, intermediate representation, program transformation, static analysis",,12.0
242,"consensus algorithms, distributed systems, fault tolerance, largescale system design, network architecture, scalability",,29.0
243,"consensus algorithms, distributed computing, distributed systems, fault tolerance, largescale system design, network architecture, scalability",,25.0
244,"consensus algorithms, distributed systems, fault tolerance, largescale system design, network architecture, scalability",,29.0
245,"consensus algorithms, distributed systems, fault tolerance, largescale system design, networked systems, scalability",,14.0
246,"concurrency control, consensus algorithms, data replication, distributed systems, fault tolerance, network architecture, system scalability",,24.0
247,"advanced database concepts, data management techniques, database indexing strategies, database performance tuning, execution plan analysis, query optimization, sql query analysis",,27.0
248,"advanced algorithms, advanced data structures, algorithm design, amortized analysis, computational complexity analysis, dynamic programming, graph theory",,25.0
250,"advanced data structures, algorithm analysis, automata theory, computability theory, computational complexity theory, graph algorithms",,29.0
251,"advanced data structures, algorithm analysis, algorithm design, complexity theory, theoretical computer science",,18.0
254,"algorithm design, computer science research, emerging technologies analysis, programming paradigms, software design patterns, software engineering, system architecture",,54.0
256,"code improvement techniques, compiler optimization, control flow analysis, dataflow analysis, program transformation, static program analysis",,14.0
257,"code generation, code optimization, compiler design, intermediate representation, parsing, register allocation, static analysis",,25.0
258,"code generation, code optimization, compiler design, intermediate representation, lexical analysis, semantic analysis, syntax analysis",,13.0
260,"concurrency control, data management, database indexing, database systems, query optimization, sql, transaction management",,28.0
261,"advanced data modeling, concurrency control, data indexing, database management, query optimization, sql, transaction management",,40.0
262,"data manipulation, database management, query optimization, relational algebra, sql",,40.0
263,"computing science, design principles, ethical design, humancomputer interaction, inclusive design, systems design, technology development",,12.0
264,"category theory, comprehension principles, functors, isbell duality, martinlof type theory, refinement type systems, type theory",,0.0
266,"advanced css selectors, css, css custom properties, css flexbox, css grid, responsive web design, ui prototyping",,41.0
267,"algorithmic models, computational expressiveness, interactive computation paradigms, persistent turing machines, software engineering theory, theory of computation",,0.0
268,"artificial intelligence, computer vision, data analysis, geospatial data analysis, machine learning, python",,83.0
269,"css, css opacity property, css pseudoclasses, css transforms, css transitions, html, user interface animation",,28.0
270,"data analysis, data science, data visualization, machine learning, pandas, python, scikitlearn, statistical modeling",,100.0
271,"css, css container queries, css layers, css parent selectors, css style queries, css viewport units, responsive web design",,28.0
272,"css, frontend development, maintainable stylesheets, responsive design, scalable css architecture, tailwind css, utilityfirst css",,56.0
273,"adversarial robustness, data stream analysis, resilient systems design, robust algorithm design, streaming algorithms, streaming data processing",,0.0
274,"css, css box model, css selectors, frontend development, html, web browser developer tools, web page styling",,67.0
275,"algorithm implementation, automated theorem proving, computational number theory, computer algebra systems, formal verification, proof assistant software, symbolic computation",,0.0
276,"browser engine architecture, embedded systems development, rust, servo rendering engine, systems integration, tauri, web standards",,25.0
277,"advanced css selectors, css animations, css custom properties, css pseudoelements, css transforms, css transitions, responsive web design",,14.0
278,"css, css animations, css transforms, css transitions, keyframe animations, page transition effects, responsive design",,28.0
279,"css, css flexbox, css grid, css layout, semantic html, web accessibility",,30.0
280,"css, css layout techniques, html, responsive web design, ui component development, web accessibility, web performance optimization",,57.0
281,"concurrent system modeling, graphical modeling, mathematical modeling, petri net simulation, petri net theory, system analysis, system design",,23.0
282,"algorithmic design, binary representation, computational thinking, conditional logic, flowcharting, looping constructs, pseudocode",,14.0
283,"css, css length units, em, fixed length units, px, relative length units, rem, viewport units",,12.0
284,"css, css animations, css keyframes, css transforms, css transitions, html, web animation",,28.0
285,"css, css backgrounds, css box model, css inheritance, css selectors, font styling, text styling",,26.0
286,"css, css pseudoclasses, css selectors, dom element targeting, interactive ui styling, structural pseudoclasses",,30.0
287,"css, css properties, css selectors, embedded css, external css, html, inline css",,52.0
290,"css, css border properties, css selectors, html, html tables, table styling",,47.0
291,"absolute positioning, css, css positioning, dynamic web layouts, fixed positioning, relative positioning, static positioning, sticky positioning",,12.0
293,"critical thinking, data analysis, data interpretation, public speaking, research, scientific communication",,46.0
294,"css, css anchor positioning, css popover api, frontend development, html, tooltip implementation, ui development",,42.0
295,"css, css transitions, dom manipulation, html, javascript, responsive web design, scrolltriggered animations",,70.0
296,"css, css display property, css grid, css positioning, document flow, flexbox, web layout",,14.0
300,"arrays, control flow, functions, java, objectoriented programming, recursion",,47.0
301,"computational logic, functional logic, information encoding, logical reasoning, propositional logic, relational logic",,16.0
307,"algorithmic thinking, computational thinking, control flow, functions, problem decomposition, programming fundamentals, variables and data types",,24.0
308,"agile estimation, agile methodology, agile project management, product roadmap development, release planning, software development lifecycle, software requirements gathering",,52.0
310,"boolean algebra, combinatorics, graph theory, mathematical proof techniques, number theory, propositional and predicate logic, set theory",,0.0
313,"algorithmic thinking, computational thinking, control flow, debugging, problem decomposition, programming logic, variables and data types",,14.0
315,", computer science fundamentals, game development, lua, löve 2d, unity",,49.0
316,"api creation, bootstrap, cloud services deployment, django, flask, javascript, python, sql",,98.0
317,"algorithms, binary systems, boolean logic, computer hardware, database concepts, networks, visual basic",,41.0
318,"algorithms, artificial intelligence, data structures, intelligent systems design, machine learning, programming fundamentals, python",,83.0
319,"algorithms, binary data representation, boolean logic, computer hardware fundamentals, computer networking principles, data structures, programming fundamentals",,52.0
320,"algorithms, big o notation, boolean logic, control flow, data structures, procedural programming, recursion",,28.0
326,"algorithmic problemsolving, algorithms, big o notation, data structures, objectoriented programming, recursion, system design",,54.0
329,"algorithms, computer science fundamentals, control flow, data structures, problem solving with code, programming fundamentals, python",,55.0
332,"abstraction, algorithms, data analysis, data structures, data visualization, r programming, statistical computing",,71.0
335,"algorithm analysis, bigo notation, divide and conquer algorithms, master method, randomized algorithms, searching algorithms, sorting algorithms",,12.0
336,"applied cryptography, cryptography, digital signatures, hash functions, information security, publickey cryptography, symmetrickey cryptography",,0.0
337,"algorithmic thinking, basic data structures, control flow, functions, problemsolving with code, python, variables and data types",,39.0
339,"algorithms, c programming, css, data structures, html, javascript, python, sql",,99.0
340,"artificial intelligence, knowledge representation, machine learning, problemsolving algorithms, python, search algorithms, supervised learning",,67.0
342,"cache design, computer architecture, digital logic design, instruction set architecture, memory hierarchy, microprocessor design, pipelining",,24.0
343,"algorithms, data structures, graph processing, java, performance analysis, searching algorithms, sorting algorithms",,54.0
345,"algorithmic analysis, algorithms, computational complexity, data structures, programming fundamentals, software development principles, system design",,66.0
346,"algorithm design, divide and conquer, dynamic programming, greedy algorithms, searching algorithms, sorting algorithms, time complexity analysis",,12.0
347,"classification, clustering, deep learning, machine learning, python, recommender systems, regression",,57.0
348,"authentication systems design, humancomputer interaction, privacypreserving design, secure systems design, threat modeling, usability engineering, user experience security",,0.0
350,"algorithms, artificial intelligence, data mining, data structures, encryption, ruby, simulations",,98.0
351,"basic computing, c programming, css, database management, html, office automation, web design",,79.0
360,"computer vision, digital image processing, image adjustment, image compression, image segmentation, matlab, medical imaging",,40.0
361,"business process auditing, control evaluation, information system controls, information system risk assessment, it auditing, it risk management, systems development life cycle security",,11.0
362,"big data, cloud computing, cloud infrastructure, cloud storage services, platform as a service, serverless architectures, virtualization",,80.0
363,"arrays, c programming, control flow, data types, functions, pointers, recursion",,26.0
364,"effects management, functional programming, lazy evaluation, monads, scala, state management, typedirected programming",,40.0
367,"algorithm analysis, baxter permutations, combinatorial analysis, data structures, floorplan data structures, graph theory, twintrees",,14.0
368,"fault injection, hardware intellectual property protection, hardware vulnerability analysis, physical attack techniques, secure hardware design, sidechannel analysis, trusted system design",,0.0
370,"artificial intelligence, deep learning, machine learning, model building, model training, neural networks",,64.0
371,"advanced algorithms, advanced data structures, algorithmic analysis, graph algorithms, java, performance analysis, string processing algorithms",,52.0
373,"audio analysis, classification algorithms, gesture recognition, machine learning, regression analysis, segmentation algorithms, sensor data processing",,40.0
375,"ai model apis, generative ai, google ai platform, large language models, machine learning, model finetuning, prompt engineering",,56.0
377,"binary arithmetic, binary number system, boolean logic, computer science fundamentals, data representation, digital logic, number base conversion",,0.0
379,"aipowered content generation, chatgpt, generative artificial intelligence, google bard, large language models, microsoft bing chat, prompt engineering",,55.0
381,"crossvalidation, linear regression, model performance evaluation, parameter estimation, predictive modeling, python, regression analysis",,51.0
382,"concurrency, distributed systems, highperformance computing, performance optimization, scalability, software architecture, system design",,51.0
383,"architectural patterns, design patterns, software architecture, software modeling, solid principles, system design, uml",,66.0
384,"algorithm analysis, algorithm design, algorithmic problemsolving, computational complexity theory, data structures, dynamic programming, graph algorithms",,26.0
385,"chainofthought prompting, chatgpt, fewshot prompting, generative ai, large language models, prompt engineering, zeroshot prompting",,56.0
386,"concurrency and synchronization, cpu scheduling, file systems, interprocess communication, memory management, process management, system calls, virtual memory",,22.0
387,"branch prediction, instructionlevel parallelism, memory hierarchy, performance measurement, pipelining, superscalar architecture, threadlevel parallelism",,12.0
388,"algorithmic thinking, computational thinking, data analysis, pattern recognition, problem decomposition, python, python scripting",,42.0
391,"abstract data types, assignment semantics, formal logic, operator overloading, type conversion, type theory, value vs. reference equality",,0.0
393,"formal verification, fuzz testing, model checking, software testing, software verification, static analysis, symbolic execution",,14.0
394,"data visualization, git, python, reproducible research, scientific computing, scripting, version control",,71.0
395,"embedded systems, hardwaresoftware interaction, iot architecture, iot communication protocols, iot system design, microcontroller programming, network fundamentals",,25.0
397,"algorithms, control flow, data structures, debugging, programming fundamentals, software development lifecycle, version control",,83.0
398,"advanced data structures, algorithm analysis, graph algorithms, graph theory, network optimization, pathfinding algorithms, resource allocation algorithms",,38.0
399,"caret, data collection, machine learning, machine learning algorithms, model evaluation, ",,63.0
401,"algorithm analysis, computability theory, computational complexity theory, computational models, formal language theory, p vs np problem, turing machines",,0.0
403,"artificial intelligence, computer vision, deep learning, machine learning, natural language processing, neural networks, reinforcement learning",,96.0
405,"computer networking, domain name system, internet protocols, network architecture, request for comments, simple mail transfer protocol, tcpip",,40.0
406,"algorithms and data structures, mvc architecture, objectoriented programming, relational databases, ruby, ruby on rails, software testing",,96.0
410,"cloud computing, cybersecurity, deep learning, internet structure, neural networks",,77.0
412,"aienhanced learning, chatgpt, cognitive science principles, knowledge synthesis with ai, large language models, prompt engineering",,49.0
417,"artificial intelligence, machine learning, numpy, pandas, python, scikitlearn, supervised learning",,98.0
421,"coding standards, combinatorics, computational problemsolving, counting principles, probability, python, software testing",,40.0
422,"algorithm analysis, algorithms, big o notation, data structures, java, objectoriented programming, sorting algorithms",,57.0
423,"algorithm analysis, algorithmic design, big o notation, complexity analysis, data structures, mathematical modeling, performance analysis",,14.0
425,"arduino ide, arduino programming, basic electronics, c++, esp32esp8266 programming, microcontroller programming",,16.0
426,"blockchain technology, consensus algorithms, cryptocurrency security, cryptographic hash functions, digital signatures, publickey cryptography, smart contracts",,12.0
427,"algorithm implementation, algorithms, arrays, data manipulation, data structures, hash tables, tree structures",,28.0
428,"aiassisted coding, automated content generation, chatgpt, code debugging, code generation, large language models, prompt engineering",,69.0
429,"abstract data types, algorithms, data structures, java, linked lists, recursion, time complexity analysis",,42.0
431,"assembly language, caching principles, computer architecture, digital logic design, instruction set architecture, memory hierarchy, processor design",,24.0
432,"algorithmic thinking, control flow, data types and variables, debugging, functions, programming fundamentals, scripting",,52.0
433,"compiler design, computer architecture, instruction set architecture, memory management, operating system design, systems programming, virtual machine implementation",,36.0
434,"algorithms, data science, induction, invariants, logic, machine learning, recursion",,42.0
437,"bootstrap, bootstrap grid system, css box model, css media queries, css positioning, css selectors, css3, responsive web design",,47.0
438,"algorithms, , control flow, data structures, memory management, pointers, structured programming",,57.0
441,"big data processing, , cpugpu architecture, cuda, multithreading, parallel processing, python",,55.0
442,"algorithms, data modeling, data structures, objectoriented programming, python, search algorithms, web crawling",,83.0
443,"computer hardware, computer hardware assembly, it troubleshooting, network fundamentals, operating system installation, software troubleshooting",,62.0
